price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
"Price guide $750,000","33/99 Rawson Road, GREENACRE NSW 2190",GREENACRE,3,1,2,Townhouse,https://www.domain.com.au/33-99-rawson-road-greenacre-nsw-2190-2020098545,750000.0
"$1,220,000","17 Napoli Street, PADSTOW NSW 2211",PADSTOW,4,2,2,Semi-detached,https://www.domain.com.au/17-napoli-street-padstow-nsw-2211-2020098168,1220000.0
Contact Agent,"28 Wesley Street, GREENACRE NSW 2190",GREENACRE,5,4,2,Semi-detached,https://www.domain.com.au/28-wesley-street-greenacre-nsw-2190-2020097301,
Contact Agent,"5B Lillian Crescent, REVESBY NSW 2212",REVESBY,4,3,2,Semi-detached,https://www.domain.com.au/5b-lillian-crescent-revesby-nsw-2212-2020096532,
Contact Agent,"65 Remly Street, ROSELANDS NSW 2196",ROSELANDS,5,3,4,House,https://www.domain.com.au/65-remly-street-roselands-nsw-2196-2020095872,
Offers Invited,"122A Beaconsfield Street, REVESBY NSW 2212",REVESBY,4,3,2,Duplex,https://www.domain.com.au/122a-beaconsfield-street-revesby-nsw-2212-2020095271,
Auction,"4 Rose Street, PUNCHBOWL NSW 2196",PUNCHBOWL,4,3,3,House,https://www.domain.com.au/4-rose-street-punchbowl-nsw-2196-2019946583,
Contact Agent,"32/203 Auburn Road, YAGOONA NSW 2199",YAGOONA,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/32-203-auburn-road-yagoona-nsw-2199-2020074325,
"$510,000","48/884 Canterbury Road, ROSELANDS NSW 2196",ROSELANDS,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/48-884-canterbury-road-roselands-nsw-2196-2020048461,510000.0
"$2,500,000 to $2,550,000","8a Rhonda Street, REVESBY NSW 2212",REVESBY,5,4,2,House,https://www.domain.com.au/8a-rhonda-street-revesby-nsw-2212-2020067916,2500000.0
Price on request,"65a Courtney Road, PADSTOW NSW 2211",PADSTOW,3,2,1,Semi-detached,https://www.domain.com.au/65a-courtney-road-padstow-nsw-2211-2020066755,
Contact Agent,"7A Sherwood Street, REVESBY NSW 2212",REVESBY,6,4,1,Semi-detached,https://www.domain.com.au/7a-sherwood-street-revesby-nsw-2212-2020066253,
"$930,000 - $990,000","3/31 Queen Street, REVESBY NSW 2212",REVESBY,3,1,1,Villa,https://www.domain.com.au/3-31-queen-street-revesby-nsw-2212-2020033826,930000.0
"$495,000 - $525,000","10/199 Auburn Road, YAGOONA NSW 2199",YAGOONA,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/10-199-auburn-road-yagoona-nsw-2199-2020033598,495000.0
FOR SALE: CONTACT AGENT,"80 Albert Street, REVESBY NSW 2212",REVESBY,5,2,5,House,https://www.domain.com.au/80-albert-street-revesby-nsw-2212-2020012717,
Contact Agent,"19B Barkl Avenue, PADSTOW NSW 2211",PADSTOW,6,4,3,House,https://www.domain.com.au/19b-barkl-avenue-padstow-nsw-2211-2020007570,
"For Sale - $1,550,000-$1,600,000","22B Greenway Parade, REVESBY NSW 2212",REVESBY,5,3,2,House,https://www.domain.com.au/22b-greenway-parade-revesby-nsw-2212-2020007234,
Price on Request,"3/91 Villiers Road, PADSTOW HEIGHTS NSW 2211",PADSTOW HEIGHTS,3,2,2,Townhouse,https://www.domain.com.au/3-91-villiers-road-padstow-heights-nsw-2211-2019983810,
"For Sale $1,500,000-$1,600,000","4 Keates Avenue, PADSTOW HEIGHTS NSW 2211",PADSTOW HEIGHTS,5,4,3,Semi-detached,https://www.domain.com.au/4-keates-avenue-padstow-heights-nsw-2211-2019979191,1500000.0
"Price Guide $1,500,000 - $1,600,000","49a Tennyson Road, GREENACRE NSW 2190",GREENACRE,5,3,2,Duplex,https://www.domain.com.au/49a-tennyson-road-greenacre-nsw-2190-2019977298,1500000.0
"Guide $475,000 - $505,000","101/112-114 Northcote Road, GREENACRE NSW 2190",GREENACRE,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/101-112-114-northcote-road-greenacre-nsw-2190-2019973922,475000.0
"$1,599,000","43 Arab Rd, PADSTOW NSW 2211",PADSTOW,4,2,1,Semi-detached,https://www.domain.com.au/43-arab-rd-padstow-nsw-2211-2019926547,1599000.0
"$879,000","6/16 Boronia Road, GREENACRE NSW 2190",GREENACRE,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/6-16-boronia-road-greenacre-nsw-2190-2019921228,879000.0
Contact Agent,"5 Shellcote Road, GREENACRE NSW 2190",GREENACRE,5,3,2,House,https://www.domain.com.au/5-shellcote-road-greenacre-nsw-2190-2019882853,
Under Contract,"111/17-19 Rookwood Road, YAGOONA NSW 2199",YAGOONA,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/111-17-19-rookwood-road-yagoona-nsw-2199-2019854990,
"Guide $2,750,000 - $2,950,000","40 Smith Road, YAGOONA NSW 2199",YAGOONA,8,6,6,House,https://www.domain.com.au/40-smith-road-yagoona-nsw-2199-2019583174,2750000.0
